,X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
286,-6.80E+00,3.35E-01,4.19E+00,2.94E+02
287,-6.92E+00,2.61E-01,4.19E+00,2.95E+02
288,-7.19E+00,1.25E-01,4.25E+00,2.95E+02
289,-7.38E+00,4.69E-02,4.32E+00,2.95E+02
290,-7.77E+00,-7.61E-02,4.50E+00,2.95E+02
291,-8.14E+00,-1.62E-01,4.71E+00,2.95E+02
292,-8.41E+00,-2.09E-01,4.88E+00,2.95E+02
293,-8.65E+00,-2.40E-01,5.05E+00,2.95E+02
294,-8.78E+00,-2.50E-01,5.15E+00,2.95E+02
295,-9.02E+00,-2.15E-01,5.36E+00,2.95E+02
296,-9.12E+00,-1.73E-01,5.46E+00,2.95E+02
297,-9.35E+00,-5.15E-02,5.67E+00,2.95E+02
298,-9.39E+00,-2.24E-02,5.72E+00,2.95E+02
299,-9.49E+00,4.08E-02,5.81E+00,2.95E+02
300,-9.65E+00,1.30E-01,5.96E+00,2.95E+02
301,-9.69E+00,1.47E-01,5.99E+00,2.95E+02
302,-9.76E+00,1.81E-01,6.06E+00,2.95E+02
303,-9.94E+00,2.47E-01,6.25E+00,2.95E+02
304,-9.99E+00,2.62E-01,6.31E+00,2.95E+02
305,-1.01E+01,2.90E-01,6.50E+00,2.95E+02
306,-1.02E+01,3.01E-01,6.69E+00,2.95E+02
307,-1.02E+01,3.03E-01,6.76E+00,2.95E+02
308,-3.29E+00,1.12E+01,4.86E+00,2.92E+02
309,-3.30E+00,1.11E+01,4.86E+00,2.92E+02
310,-3.32E+00,1.10E+01,4.86E+00,2.92E+02
311,-3.32E+00,1.10E+01,4.86E+00,2.93E+02
312,-3.33E+00,1.10E+01,4.86E+00,2.93E+02
313,-3.34E+00,1.09E+01,4.86E+00,2.93E+02
314,-3.35E+00,1.08E+01,4.86E+00,2.93E+02
315,-3.37E+00,1.07E+01,4.86E+00,2.93E+02
316,-3.41E+00,1.05E+01,4.87E+00,2.93E+02
317,-3.49E+00,1.01E+01,4.88E+00,2.93E+02
318,-3.50E+00,1.00E+01,4.88E+00,2.93E+02
319,-3.52E+00,9.89E+00,4.89E+00,2.93E+02
320,-3.57E+00,9.68E+00,4.90E+00,2.94E+02
